date,budget_id,budget__name,budget__code,fond_id,fond__code,fond__name,source_id,source__code,source__name,plan_s,fact_s
2020-01-01,e1915daa-b06d-11e4-8068-000c29123d1d,"м.Мелітополь, Запорiзька область",013,e490836c-bfac-43c6-8507-a5206ef13ae8,1 ,Загальний фонд,7a075f19-b0fe-11e4-8068-000c29123d1d,11010400,"Податок на доходи фізичних осіб, що сплачується податковими агентами, із доходів платника податку інших ніж заробітна плата",400000.00,34376.98
2020-01-01,e1915daa-b06d-11e4-8068-000c29123d1d,"м.Мелітополь, Запорiзька область",013,e490836c-bfac-43c6-8507-a5206ef13ae8,1 ,Загальний фонд,7a076078-b0fe-11e4-8068-000c29123d1d,24060300,Інші надходження,300000.00,241866.73
2020-01-01,e1915daa-b06d-11e4-8068-000c29123d1d,"м.Мелітополь, Запорiзька область",013,1b948590-b45c-457f-99de-0550204286e8,7 ,7. Інші кошти спеціального фонду,7a07611b-b0fe-11e4-8068-000c29123d1d,50110000,"Цільові фонди, утворені Верховною Радою Автономної Республіки Крим, органами місцевого самоврядування та місцевими органами виконавчої влади",250000.00,0.00
2020-01-01,e1915daa-b06d-11e4-8068-000c29123d1d,"м.Мелітополь, Запорiзька область",013,e490836c-bfac-43c6-8507-a5206ef13ae8,1 ,Загальний фонд,93a7ff39-eb9e-11e7-80d6-7824af41bb8e,41051500,Субвенція з місцевого бюджету на здійснення переданих видатків у сфері охорони здоров’я за рахунок коштів медичної субвенції,245982.00,245982.00
2020-01-01,e1915daa-b06d-11e4-8068-000c29123d1d,"м.Мелітополь, Запорiзька область",013,e490836c-bfac-43c6-8507-a5206ef13ae8,1 ,Загальний фонд,6717c293-f138-11e7-80d6-7824af41bb8e,41051000,Субвенція з місцевого бюджету на здійснення переданих видатків у сфері освіти за рахунок коштів освітньої субвенції,146340.00,146340.00
2020-01-01,e1915daa-b06d-11e4-8068-000c29123d1d,"м.Мелітополь, Запорiзька область",013,e490836c-bfac-43c6-8507-a5206ef13ae8,1 ,Загальний фонд,7a075fda-b0fe-11e4-8068-000c29123d1d,18010300,"Податок на нерухоме майно, відмінне від земельної ділянки, сплачений фізичними особами, які є власниками об'єктів нежитлової нерухомості",100000.00,285003.68
2020-01-01,e1915daa-b06d-11e4-8068-000c29123d1d,"м.Мелітополь, Запорiзька область",013,58eaf96b-780a-4376-a762-deb41e32be0c,7 ,Інші кошти спеціального фонду (БАНК),7a0760a0-b0fe-11e4-8068-000c29123d1d,24170000,Надходження коштів пайової участі у розвитку інфраструктури населеного пункту,100000.00,0.00
2020-01-01,e1915daa-b06d-11e4-8068-000c29123d1d,"м.Мелітополь, Запорiзька область",013,e490836c-bfac-43c6-8507-a5206ef13ae8,1 ,Загальний фонд,6717c295-f138-11e7-80d6-7824af41bb8e,41051200,Субвенція з місцевого бюджету на надання державної підтримки особам з особливими освітніми потребами за рахунок відповідної субвенції з державного бюджету,90361.00,90361.00
2020-01-01,e1915daa-b06d-11e4-8068-000c29123d1d,"м.Мелітополь, Запорiзька область",013,e490836c-bfac-43c6-8507-a5206ef13ae8,1 ,Загальний фонд,7a075fd9-b0fe-11e4-8068-000c29123d1d,18010200,"Податок на нерухоме майно, відмінне від земельної ділянки, сплачений фізичними особами, які є власниками об'єктів житлової нерухомості",90000.00,62121.35
2020-01-01,e1915daa-b06d-11e4-8068-000c29123d1d,"м.Мелітополь, Запорiзька область",013,e490836c-bfac-43c6-8507-a5206ef13ae8,1 ,Загальний фонд,7a07605a-b0fe-11e4-8068-000c29123d1d,22080400,"Надходження від орендної плати за користування цілісним майновим комплексом та іншим майном, що перебуває в комунальній власності",80000.00,30500.62
2020-01-01,e1915daa-b06d-11e4-8068-000c29123d1d,"м.Мелітополь, Запорiзька область",013,e490836c-bfac-43c6-8507-a5206ef13ae8,1 ,Загальний фонд,6717c2af-f138-11e7-80d6-7824af41bb8e,41053900,Інші субвенції з місцевого бюджету,48000.00,0.00
2020-01-01,e1915daa-b06d-11e4-8068-000c29123d1d,"м.Мелітополь, Запорiзька область",013,e490836c-bfac-43c6-8507-a5206ef13ae8,1 ,Загальний фонд,7a07603a-b0fe-11e4-8068-000c29123d1d,22010300,"Адміністративний збір за проведення державної реєстрації юридичних осіб,  фізичних осіб – підприємців та громадських формувань",40000.00,43960.00
2020-01-01,e1915daa-b06d-11e4-8068-000c29123d1d,"м.Мелітополь, Запорiзька область",013,e490836c-bfac-43c6-8507-a5206ef13ae8,1 ,Загальний фонд,7a075fe2-b0fe-11e4-8068-000c29123d1d,18011100,Транспортний податок з юридичних осіб,20000.00,37500.00
2020-01-01,e1915daa-b06d-11e4-8068-000c29123d1d,"м.Мелітополь, Запорiзька область",013,e490836c-bfac-43c6-8507-a5206ef13ae8,1 ,Загальний фонд,7a075fd8-b0fe-11e4-8068-000c29123d1d,18010100,"Податок на нерухоме майно, відмінне від земельної ділянки, сплачений юридичними особами, які є власниками об'єктів житлової нерухомості",20000.00,14013.29
2020-01-01,e1915daa-b06d-11e4-8068-000c29123d1d,"м.Мелітополь, Запорiзька область",013,e490836c-bfac-43c6-8507-a5206ef13ae8,1 ,Загальний фонд,7a075fe7-b0fe-11e4-8068-000c29123d1d,18030100,"Туристичний збір, сплачений юридичними особами",15000.00,0.00
2020-01-01,e1915daa-b06d-11e4-8068-000c29123d1d,"м.Мелітополь, Запорiзька область",013,e490836c-bfac-43c6-8507-a5206ef13ae8,1 ,Загальний фонд,7a07604e-b0fe-11e4-8068-000c29123d1d,22012600,Адміністративний збір за державну реєстрацію речових прав на нерухоме майно та їх обтяжень,10000.00,53120.00
2020-01-01,e1915daa-b06d-11e4-8068-000c29123d1d,"м.Мелітополь, Запорiзька область",013,e490836c-bfac-43c6-8507-a5206ef13ae8,1 ,Загальний фонд,7a07602f-b0fe-11e4-8068-000c29123d1d,21081100,Адміністративні штрафи та інші санкції,10000.00,17109.00
2020-01-01,e1915daa-b06d-11e4-8068-000c29123d1d,"м.Мелітополь, Запорiзька область",013,a791ab20-d55a-4f18-9bf5-5ac10053bbbf,2 ,2. Плата за послуги бюджетних установ,7a0760a6-b0fe-11e4-8068-000c29123d1d,25010400,Надходження бюджетних установ від реалізації в установленому порядку майна (крім нерухомого майна),7000.00,10574.44
2020-01-01,e1915daa-b06d-11e4-8068-000c29123d1d,"м.Мелітополь, Запорiзька область",013,e490836c-bfac-43c6-8507-a5206ef13ae8,1 ,Загальний фонд,0d57257a-8929-11e6-ba55-000c29123d1d,21081500,Адміністративні штрафи та штрафні санкції за порушення законодавства у сфері виробництва та обігу алкогольних напоїв та тютюнових виробів,5000.00,13600.00
2020-01-01,e1915daa-b06d-11e4-8068-000c29123d1d,"м.Мелітополь, Запорiзька область",013,e490836c-bfac-43c6-8507-a5206ef13ae8,1 ,Загальний фонд,7a075fe8-b0fe-11e4-8068-000c29123d1d,18030200,"Туристичний збір, сплачений фізичними особами",3000.00,3732.88
